1 1.1310
2 1.6890
3 2.1029
4 2.3161
5 2.7933
6 3.0762
7 3.2671
8 3.4264
9 2.9175
10 2.6208
11 2.5414
12 2.4270
13 2.2973
14 2.2883
15 2.3965
16 2.3810
